Module_ID,Module_Genes,Contains_CHD1L,Contains_DPF2,Network_Score,Quality_Score,Pathway_Name,P_Value,Enrichment_Ratio,Overlap_Size,Pathway_Size,Overlapping_Genes
Module_1,"CHD1L, GATA3, PTEN, PIK3CA, EDN1",Yes,No,8857.142857142857,6.2,HALLMARK_COMPLEMENT,0.0009754910012485761,40.0,2,200,"GATA3, PIK3CA"
Module_1,"CHD1L, GATA3, PTEN, PIK3CA, EDN1",Yes,No,8857.142857142857,6.2,HALLMARK_APICAL_SURFACE,0.01095279687758357,90.9090909090909,1,44,GATA3
Module_1,"CHD1L, GATA3, PTEN, PIK3CA, EDN1",Yes,No,8857.142857142857,6.2,HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.025978388927988864,38.095238095238095,1,105,PTEN
Module_1,"CHD1L, GATA3, PTEN, PIK3CA, EDN1",Yes,No,8857.142857142857,6.2,HALLMARK_UV_RESPONSE_DN,0.035488817017406145,27.77777777777778,1,144,PTEN
Module_1,"CHD1L, GATA3, PTEN, PIK3CA, EDN1",Yes,No,8857.142857142857,6.2,HALLMARK_APICAL_JUNCTION,0.04901475379144452,20.0,1,200,PTEN
Module_1,"CHD1L, GATA3, PTEN, PIK3CA, EDN1",Yes,No,8857.142857142857,6.2,HALLMARK_INFLAMMATORY_RESPONSE,0.04901475379144452,20.0,1,200,EDN1
Module_1,"CHD1L, GATA3, PTEN, PIK3CA, EDN1",Yes,No,8857.142857142857,6.2,HALLMARK_KRAS_SIGNALING_DN,0.04901475379144452,20.0,1,200,EDN1
Module_1,"CHD1L, GATA3, PTEN, PIK3CA, EDN1",Yes,No,8857.142857142857,6.2,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.04901475379144452,20.0,1,200,EDN1
Module_2,"DPF2, GATA3, PTEN, PIK3CA, EDN1",No,Yes,8857.142857142857,6.2,HALLMARK_COMPLEMENT,0.0009754910012485761,40.0,2,200,"GATA3, PIK3CA"
Module_2,"DPF2, GATA3, PTEN, PIK3CA, EDN1",No,Yes,8857.142857142857,6.2,HALLMARK_APICAL_SURFACE,0.01095279687758357,90.9090909090909,1,44,GATA3
Module_2,"DPF2, GATA3, PTEN, PIK3CA, EDN1",No,Yes,8857.142857142857,6.2,HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.025978388927988864,38.095238095238095,1,105,PTEN
Module_2,"DPF2, GATA3, PTEN, PIK3CA, EDN1",No,Yes,8857.142857142857,6.2,HALLMARK_UV_RESPONSE_DN,0.035488817017406145,27.77777777777778,1,144,PTEN
